Month Number,Month,Year,Temp - F,Temp - C,Precip - Inches,Precip - Centimeters,Height - Inches,Height - Centimeters,Number of Deer,Number of Coyotes
60,12,2023,31.091724,-0.504597778,5.141741,13.06002214,9.010447,22.88653538,3,0
61,1,2024,25.126186,-3.818785556,6.203678,15.75734212,8.268515,21.0020281,4,0
62,2,2024,40.903923,4.946623889,11.048095,28.0621613,14.116726,35.85648404,5,0
63,3,2024,35.370033,1.872240556,11.779583,29.92014082,17.871883,45.39458282,6,1
64,4,2024,60.517368,15.84298222,12.94994,32.8928476,14.980797,38.05122438,6,2
65,5,2024,54.419788,12.45543778,8.560938,21.74478252,12.960437,32.91950998,6,3
66,6,2024,76.951225,24.97290278,7.420588,18.84829352,9.960445,25.2995303,6,4
67,7,2024,73.164604,22.86922444,2.896714,7.35765356,6.960526,17.67973604,6,5
68,8,2024,61.81992,16.56662222,3.324076,8.44315304,4.004361,10.17107694,5,6
69,9,2024,45.883934,7.713296667,0.923043,2.34452922,3.987003,10.12698762,2,7
70,10,2024,46.275566,7.93087,0,0,4.971994,12.62886476,1,5
71,11,2024,29.714981,-1.269455,2.897043,7.35848922,6.14916,15.6188664,1,3
72,12,2024,35.979294,2.210718889,4.868319,12.36553026,10.879307,27.63343978,1,1
,,,,,,,,,,
,,,,,,,,55.57686878,6,
